Περιφέρεια,Σύνολο,Άρρενες,Θήλεις
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ, 608.182, 299.643, 308.539
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ, 1.882.108, 912.693, 969.415
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ, 283.689, 141.779, 141.910
ΗΠΕΙΡΟΣ, 336.856, 165.775, 171.081
ΘΕΣΣΑΛΙΑΣ, 732.762, 362.194, 370.568
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ, 547.390, 277.475, 269.915
ΙΟΝΙΩΝ ΝΗΣΩΝ, 207.855, 102.400, 105.455
ΔΥΣΙΚΗΣ ΕΛΛΑΔΑΣ, 679.796, 339.310, 340.486 
ΠΕΛΟΠΟΝΝΗΣΟΥ, 577.903, 291.777, 286.126
ΑΤΤΙΚΗΣ, 3.828.434, 1.845.663, 1.982.771
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ, 199.231, 99.984, 99.247
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ, 309.015, 155.865, 153.150 
ΚΡΗΤΗΣ, 623.065, 308.665, 314.400
